province,country,page name,population,density
Anhui,Mainland China,Anhui,62000000,442
Beijing,Mainland China,Beijing,21542000,1313
Chongqing,Mainland China,Chongqing,30484300,370
Fujian,Mainland China,Fujian,38565000,318
Gansu,Mainland China,Gansu,25575254,56
Guangdong,Mainland China,Guangdong,113460000,631
Guangxi,Mainland China,Guangxi,48380000,204
Guizhou,Mainland China,Guizhou,34746468,197
Hainan,Mainland China,Hainan,9257600,262
Hebei,Mainland China,Hebei,74700500,396
Heilongjiang,Mainland China,Heilongjiang,38312224,84
Henan,Mainland China,Henan,95324200,571
Hubei,Mainland China,Hubei,58500000,315
Hunan,Mainland China,Hunan,67370000,321
Inner Mongolia,Mainland China,Inner_Mongolia,24706321,20
Jiangsu,Mainland China,Jiangsu,80400000,784
Jiangxi,Mainland China,Jiangxi,45200000,271
Jilin,Mainland China,Jilin,27462297,144
Liaoning,Mainland China,Liaoning,43900000,301
Ningxia,Mainland China,Ningxia,6301350,89
Qinghai,Mainland China,Qinghai,5626722,8
Shaanxi,Mainland China,Shaanxi,37327378,181
Shandong,Mainland China,Shandong,100472400,640
Shanghai,Mainland China,Shanghai,24237800,3822
Shanxi,Mainland China,Shanxi,36500000,234
Sichuan,Mainland China,Sichuan,81100000,167
Tianjin,Mainland China,Tianjin,15621200,1308
Tibet,Mainland China,Tibet,3180000,3
Xinjiang,Mainland China,Xinjiang,21815815,13
Yunnan,Mainland China,Yunnan,45966239,117
Zhejiang,Mainland China,Zhejiang,57370000,564
,Thailand,Thailand,69428453,132
,Japan,Japan,126150000,334
,South Korea,South_Korea,51709098,507
Taiwan,Taiwan,Taiwan,23780452,650
"King County, WA",US,,,
"Cook County, IL",US,,,
Macau,Macau,Macau,667400,NaN
Hong Kong,Hong Kong,Hong_Kong,7482500,6777
,Singapore,Singapore,0,NaN
,Vietnam,Vietnam,0,
,France,France,0,116
,Nepal,Nepal,0,180
,Malaysia,Malaysia,32772100,92
"Toronto, ON",Canada,Toronto,2954024,4687
British Columbia,Canada,,,
"Los Angeles, CA",US,,,
New South Wales,Australia,,,
Victoria,Australia,Victoria,,
Queensland,Australia,Queensland,,
,Cambodia,Cambodia,0,86
,Sri Lanka,,,
,Germany,Germany,0,232
,Finland,Finland,0,16
,United Arab Emirates,,,
,Philippines,Philippines,0,336
,India,India,0,
"London, ON",Canada,London,8908081,NaN
,Italy,Italy,0,201
,UK,,,
,Russia,Russia,0,8
,Sweden,Sweden,,23
,Spain,Spain,0,92
South Australia,Australia,,,
"San Benito, CA",US,,,
,Belgium,Belgium,,376
"Madison, WI",US,,,
Diamond Princess cruise ship,Others,,,
"San Diego County, CA",US,,,
"San Antonio, TX",US,,,
,Egypt,Egypt,0,100
,Iran,Iran,83183741,48
"Omaha, NE (From Diamond Princess)",US,,,
"Travis, CA (From Diamond Princess)",US,,,
From Diamond Princess,Australia,,,
"Lackland, TX (From Diamond Princess)",US,,,
,Lebanon,Lebanon,0,560
"Humboldt County, CA",US,,,
"Sacramento County, CA",US,,,
,Iraq,Iraq,0,82
Unassigned Location (From Diamond Princess),US,,,
,Oman,Oman,0,15
,Afghanistan,Afghanistan,32225560,46
,Bahrain,Bahrain,0,NaN
,Kuwait,Kuwait,4621638,200
,Algeria,Algeria,43000000,17
,Croatia,Croatia,0,73
,Switzerland,Switzerland,0,
,Austria,Austria,0,106
,Israel,Israel,0,
,Pakistan,Pakistan,0,244
,Brazil,Brazil,210147125,25
,Georgia,Georgia,,
,Greece,Greece,10768477,82
,North Macedonia,,,
,Norway,Norway,0,13
,Romania,Romania,0,84
,Denmark,Denmark,0,135
,Estonia,Estonia,0,28
,Netherlands,Netherlands,17424978,521
,San Marino,,,
,Belarus,Belarus,9491800,45
" Montreal, QC",Canada,Montreal,1704694,NaN
,Iceland,Iceland,364260,3
,Lithuania,Lithuania,0,43
,Mexico,Mexico,126577691,61
,New Zealand,,,
,Nigeria,Nigeria,200962417,215
Western Australia,Australia,,,
,Ireland,Ireland,,
,Luxembourg,Luxembourg,0,233
,Monaco,Monaco,0,NaN
,Qatar,Qatar,2641669,176
"Snohomish County, WA",US,,,
,Ecuador,Ecuador,0,61
,Azerbaijan,Azerbaijan,10027874,115
,Czech Republic,,,
,Armenia,Armenia,0,101
,Dominican Republic,,,
,Indonesia,Indonesia,0,138
,Portugal,Portugal,10276617,114
,Andorra,Andorra,0,179
Tasmania,Australia,Tasmania,,
,Latvia,Latvia,1919968,34
,Morocco,Morocco,35581294,50
,Saudi Arabia,,,
,Senegal,Senegal,0,68
"Grafton County, NH",US,,,
"Hillsborough, FL",US,,,
"Placer County, CA",US,,,
"San Mateo, CA",US,,,
"Sarasota, FL",US,,,
"Sonoma County, CA",US,,,
"Umatilla, OR",US,,,
"Fulton County, GA",US,,,
"Washington County, OR",US,,,
,Argentina,Argentina,44938712,14
,Chile,Chile,,24
,Jordan,Jordan,10407793,114
" Norfolk County, MA",US,,,
"Maricopa County, AZ",US,,,
"Wake County, NC",US,,,
"Westchester County, NY",US,,,
,Ukraine,Ukraine,0,73
,Saint Barthelemy,,,
"Orange County, CA",US,,,
,Hungary,Hungary,9772756,105
Northern Territory,Australia,,,
,Faroe Islands,,,
,Gibraltar,Gibraltar,32194,NaN
,Liechtenstein,Liechtenstein,38557,237
,Poland,Poland,0,123
,Tunisia,Tunisia,11722038,71
"Contra Costa County, CA",US,,,
,Palestine,Palestine,,
,Bosnia and Herzegovina,,,
,Slovenia,Slovenia,0,102
"Bergen County, NJ",US,,,
"Harris County, TX",US,,,
"San Francisco County, CA",US,San_Francisco,883305,7272
,South Africa,,,
"Clark County, NV",US,,,
"Fort Bend County, TX",US,,,
"Grant County, WA",US,,,
"Santa Rosa County, FL",US,,,
"Williamson County, TN",US,,,
"New York County, NY",US,Manhattan,1628701,26822
"Unassigned Location, WA",US,,,
"Montgomery County, MD",US,,,
"Suffolk County, MA",US,,,
"Denver County, CO",US,Denver,600158,1745
"Summit County, CO",US,,,
,Bhutan,Bhutan,741700,19
,Cameroon,Cameroon,0,39
"Calgary, Alberta",Canada,Calgary,1239220,1501
,Colombia,Colombia,0,42
,Costa Rica,,,
,Peru,Peru,0,23
,Serbia,Serbia,0,89
,Slovakia,Slovakia,0,111
,Togo,Togo,7965055,125
"Chatham County, NC",US,,,
"Delaware County, PA",US,,,
"Douglas County, NE",US,,,
"Fayette County, KY",US,,,
"Floyd County, GA",US,,,
"Marion County, IN",US,,,
"Middlesex County, MA",US,,,
"Nassau County, NY",US,,,
"Ramsey County, MN",US,,,
"Washoe County, NV",US,,,
"Wayne County, PA",US,,,
"Yolo County, CA",US,,,
,Vatican City,,,
"Santa Clara County, CA",US,,,
Grand Princess Cruise Ship,US,,,
,French Guiana,,,
,Malta,Malta,0,NaN
"Douglas County, CO",US,,,
"Providence County, RI",US,,,
,Martinique,Martinique,376480,334
"Alameda County, CA",US,,,
"Broward County, FL",US,,,
"Fairfield County, CT",US,,,
"Lee County, FL",US,,,
"Pinal County, AZ",US,,,
"Rockland County, NY",US,,,
"Saratoga County, NY",US,,,
"Edmonton, Alberta",Canada,Edmonton,932546,1360
"Charleston County, SC",US,,,
"Clark County, WA",US,,,
"Cobb County, GA",US,,,
"Davis County, UT",US,,,
"El Paso County, CO",US,,,
"Honolulu County, HI",US,,,
"Jackson County, OR",US,,,
"Jefferson County, WA",US,,,
"Kershaw County, SC",US,,,
"Klamath County, OR",US,,,
"Madera County, CA",US,,,
"Pierce County, WA",US,,,
"Plymouth County, MA",US,,,
"Santa Cruz County, CA",US,,,
